Time,IDirNorm,WindVel
0,0,4.299127819
1,0,4.299127819
2,0,3.894162298
3,0,3.59684584
4,0,3.394362974
5,0,3.29953027
6,0,3.097046981
7,0,2.404163056
8,0,1.701881312
9,24,0.99959992
10,331,1.2
11,494,1.296919427
12,710,1.498032042
13,761,1.99919984
14,739,2.599249892
15,625,3.094672842
16,218,2.79635477
17,2,2.401332963
18,0,2.097450834
19,0,1.9
20,0,1.701881312
21,0,1.498032042
22,0,2.202203442
23,0,2.89794755
24,0,3.59684584
25,0,3.897178467
26,0,4.300290688
27,0,4.596444278
28,0,3.902166065
29,0,3.299606037
30,0,2.597883754
31,0,3.300560558
32,0,3.90417725
33,0,4.596444278
34,0,4.299127819
35,0,3.894162298
36,0,3.59684584
37,3,3.805798208
38,29,3.899641009
39,68,4.102340795
40,9,4.296242544
41,0,4.396111919
42,0,4.596444278
43,0,4.596444278
44,0,4.596444278
45,0,4.596444278
46,0,5.501754266
47,0,6.296038437
48,0,7.2
49,0,7.001271313
50,0,6.904201619
51,0,6.703290237
52,0,6.502499519
53,0,6.404131479
54,0,6.203434533
55,0,6.395474963
56,0,6.50175361
57,0,6.700223877
58,163,6.998542705
59,374,7.403141225
60,596,7.7014609
61,482,8.903128664
62,360,10.10256403
63,241,11.29973451
64,132,9.098054737
65,18,6.801543942
66,0,4.596444278
67,0,3.402425605
68,0,2.205379786
69,0,0.99959992
70,0,1.404563989
71,0,1.701881312
72,0,2.097450834
73,0,1.904363411
74,0,1.701881312
75,0,1.49939988
76,0,1.701881312
77,0,1.904363411
78,0,2.097450834
79,0,1.397139936
80,0,0.704556598
81,26,0
82,335,0.703278039
83,517,1.397891269
84,699,2.1
85,744,1.903943276
86,718,1.698057714
87,602,1.5
88,370,1.7
89,70,1.898420396
90,0,2.097450834
91,0,2.404163056
92,0,2.79973213
93,0,3.097046981
94,0,3.29953027
95,0,3.394362974
96,0,3.59684584
97,0,3.602027207
98,0,3.602027207
99,0,3.59684584
100,0,3.29953027
101,0,2.90396281
102,0,2.597248544
103,0,2.79973213
104,0,2.90396281
105,0,3.097046981
106,0,3.097046981
107,0,3.097046981
108,0,3.097046981
109,0,3.1
110,0,3.097046981
111,0,3.094672842
112,0,2.399416596
113,0,1.698057714
114,0,0.99959992
115,0,1.49939988
116,0,2.097450834
117,0,2.597248544
118,0,2.201681176
119,0,1.904363411
120,0,1.49939988
121,0,2.003521899
122,0,2.597383299
123,0,3.1
124,0,3.100967591
125,0,3.102337828
126,0,3.097046981
127,0,3.29953027
128,0,3.394362974
129,0,3.59684584
130,0,3.59684584
131,4,3.59684584
132,37,3.59684584
133,124,3.402425605
134,295,3.301938824
135,477,3.097046981
136,364,2.796587206
137,74,2.396413988
138,0,2.1
139,0,1.7
140,0,1.4
141,0,1
142,0,1.2
143,0,1.303610371
144,0,1.49939988
145,0,1.695464538
146,0,1.902761152
147,0,2.1
148,0,2.103734774
149,0,2.095709904
150,0,2.097450834
151,0,1.701881312
152,0,1.404563989
153,0,0.99959992
154,0,1.195533354
155,0,1.294681428
156,0,1.5
157,0,1.894755921
158,0,2.200022727
159,0,2.597248544
160,0,2.403767876
161,0,2.295931184
162,0,2.1
163,0,3.1
164,0,4.1
165,0,5.1
166,0,4.399659078
167,0,3.803209171
168,0,3.097046981
169,0,6.204715948
170,0,9.199489116
171,0,12.30275172
172,0,10.79993518
173,0,9.205704753
174,0,7.702889068
175,0,8.202688584
176,0,8.800738605
177,6,9.300537619
178,264,8.800738605
179,429,8.202688584
180,638,7.702889068
181,768,8.395772746
182,752,9.098054737
183,653,9.800336729
184,407,10.09765319
185,89,10.50261872
186,0,10.79993518
187,0,9.403797105
188,0,8.10469617
189,0,6.7
190,0,6.6955881
191,0,6.701708737
192,0,6.703290237
193,0,5.302263668
194,0,3.996561022
195,0,2.6
196,0,3.1
197,0,3.6
198,0,4.1
199,0,3.100967591
200,0,2.003521899
201,28,0.99959992
202,340,1.501366045
203,527,2.103734774
204,716,2.6
205,766,2.89794755
206,746,3.296604314
207,643,3.59684584
208,403,3.895394717
209,90,4.299174339
210,0,4.6
211,0,3.897178467
212,0,3.296604314
213,0,2.597248544
214,0,2.396413988
215,0,2.295931184
216,0,2.097450834
217,0,2.404163056
218,0,2.79973213
219,0,3.097046981
220,0,3.097046981
221,0,3.097046981
222,0,3.097046981
223,0,2.396413988
224,0,1.701793172
225,30,0.99959992
226,345,1.399785698
227,530,1.697439248
228,715,2.101094953
229,767,2.404682931
230,750,2.799571396
231,652,3.097046981
232,411,2.90203377
233,95,2.802034975
234,0,2.597248544
235,0,2.204109798
236,0,1.902629759
237,0,1.498032042
238,0,1.198540779
239,0,0.800499844
240,0,0.5
241,0,0.5
242,0,0.5
243,0,0.5
244,0,0.5
245,0,0.5
246,0,0.49979996
247,0,0.703278039
248,0,0.795110055
249,29,1.00124922
250,82,1.199708298
251,42,1.305986217
252,0,1.498032042
253,7,1.999724981
254,13,2.598326384
255,4,3.097046981
256,45,2.597248544
257,30,1.99919984
258,0,1.49939988
259,0,2.003247364
260,0,2.597383299
261,0,3.097046981
262,0,2.795782538
263,0,2.399416596
264,0,2.101094953
265,0,2.094039159
266,0,2.097641533
267,0,2.1
268,0,1.902761152
269,0,1.695464538
270,0,1.49939988
271,0,1.904363411
272,0,2.201681176
273,30,2.597248544
274,339,2.900379286
275,525,3.301060436
276,708,3.6
277,763,3.302029679
278,747,2.901258348
279,645,2.597248544
280,414,2.404079866
281,116,2.303150017
282,0,2.101094953
283,0,1.702938637
284,0,1.40064271
285,0,0.99959992
286,0,1.701793172
287,0,2.396413988
288,0,3.097046981
289,0,2.79973213
290,0,2.404163056
291,0,2.097450834
292,0,2.299934782
293,0,2.404163056
294,0,2.597248544
295,0,2.79973213
296,0,2.90396281
297,0,3.097046981
298,0,3.601999445
299,8,4.102340795
300,6,4.599130353
301,7,4.296242544
302,6,3.90417725
303,4,3.59684584
304,0,2.704163457
305,0,1.898894415
306,0,0.99959992
307,0,1.400714104
308,0,1.69649639
309,0,2.097450834
310,0,1.902761152
311,0,1.701793172
312,0,1.49939988
313,0,1.904363411
314,0,2.201681176
315,0,2.597248544
316,0,2.599249892
317,0,2.597883754
318,0,2.597248544
319,0,2.79973213
320,0,2.90396281
321,0,3.097046981
322,0,3.394362974
323,0,3.799328888
324,0,4.096644969
325,0,3.799328888
326,0,3.394362974
327,0,3.097046981
328,0,2.201681176
329,0,1.404563989
330,0,0.49979996
331,0,0.704556598
332,0,0.795110055
333,0,0.99959992
334,0,0.997296345
335,0,1.004041832
336,0,1.00124922
337,0,1.699411663
338,0,2.403767876
339,0,3.1
340,0,2.9
341,0,2.796587206
342,0,2.597248544
343,0,2.799517816
344,0,2.9
345,0,3.097046981
346,0,2.597383299
347,0,2.003247364
348,0,1.49939988
349,0,1.904363411
350,0,2.201681176
351,0,2.597248544
352,0,2.90396281
353,0,3.29953027
354,0,3.59684584
355,0,3.099193443
356,0,2.598807419
357,0,2.101094953
358,0,2.801285419
359,0,3.403307215
360,0,4.096644969
361,0,3.805798208
362,0,3.400367627
363,0,3.094672842
364,0,3.400367627
365,0,3.805798208
366,0,4.096644969
367,0,3.799328888
368,0,3.394362974
369,38,3.097046981
370,357,3.300439365
371,545,3.400367627
372,731,3.599124894
373,783,4.498722041
374,769,5.303960784
375,681,6.203490953
376,442,5.997140986
377,174,5.899364373
378,0,5.700219294
379,0,5.197614838
380,0,4.597357937
381,0,4.096644969
382,0,3.604552677
383,0,3.100967591
384,0,2.597248544
385,0,2.90396281
386,0,3.29953027
387,0,3.59684584
388,0,3.29953027
389,0,2.90396281
390,0,2.597248544
391,0,1.695464538
392,0,0.895600357
393,0,0
394,1,0.301496269
395,92,0.698569968
396,283,0.99959992
397,320,1.902761152
398,358,2.69786953
399,367,3.59684584
400,407,3.394362974
401,125,3.29953027
402,0,3.097046981
403,0,3.899743581
404,0,4.6
405,0,3.094672842
406,0,4.096486299
407,0,5.200346142
408,0,6.2
409,0,5.7
410,0,5.1
411,0,4.6
412,0,3.896074948
413,0,3.298742185
414,0,2.597248544
415,0,2.199931817
416,0,1.902761152
417,43,1.5
418,367,1.902761152
419,555,2.199931817
420,740,2.597248544
421,791,3.300802933
422,779,3.899743581
423,694,4.596444278
424,455,4.101914187
425,188,3.599124894
426,0,3.097046981
427,0,2.095709904
428,0,0.997246208
429,0,0
430,0,0.301496269
431,0,0.698569968
432,0,0.99959992
433,0,0.99959992
434,0,0.99959992
435,0,0.99959992
436,0,1.404563989
437,0,1.701881312
438,0,2.097450834
439,0,1.397139936
440,0,0.704556598
441,0,0
442,0,0.301496269
443,4,0.698569968
444,11,0.99959992
