datetime_beginning_ept,mw
01/01/2019 00:00,72141.088
01/01/2019 01:00,69272.31
01/01/2019 02:00,67162.813
01/01/2019 03:00,65962.403
01/01/2019 04:00,65839.864
01/01/2019 05:00,66932.886
01/01/2019 06:00,68507.536
01/01/2019 07:00,70200.347
01/01/2019 08:00,71626.717
01/01/2019 09:00,74165.385
01/01/2019 10:00,76735.906
01/01/2019 11:00,78451.187
01/01/2019 12:00,78838.501
01/01/2019 13:00,78749.945
01/01/2019 14:00,79203.859
01/01/2019 15:00,80129.341
01/01/2019 16:00,82967.711
01/01/2019 17:00,88276.576
01/01/2019 18:00,89118.407
01/01/2019 19:00,88434.097
01/01/2019 20:00,87077.519
01/01/2019 21:00,84657.128
01/01/2019 22:00,80902.969
01/01/2019 23:00,76868.309
01/02/2019 00:00,74275.695
01/02/2019 01:00,72861.241
01/02/2019 02:00,72434.764
01/02/2019 03:00,72972.065
01/02/2019 04:00,75155.9
01/02/2019 05:00,80371.162
01/02/2019 06:00,88180.86
01/02/2019 07:00,93850.893
01/02/2019 08:00,95352.274
01/02/2019 09:00,95628.677
01/02/2019 10:00,96127.638
01/02/2019 11:00,96032.415
01/02/2019 12:00,95550.189
01/02/2019 13:00,95812.354
01/02/2019 14:00,95647.884
01/02/2019 15:00,95777.564
01/02/2019 16:00,98215.902
01/02/2019 17:00,102634.548
01/02/2019 18:00,102838.139
01/02/2019 19:00,101376.293
01/02/2019 20:00,99279.403
01/02/2019 21:00,95360.922
01/02/2019 22:00,90077.108
01/02/2019 23:00,84659.369
01/03/2019 00:00,80679.817
01/03/2019 01:00,78484.176
01/03/2019 02:00,77486.721
01/03/2019 03:00,77350.361
01/03/2019 04:00,78949.556
01/03/2019 05:00,83418.119
01/03/2019 06:00,90985.8
01/03/2019 07:00,96067.55
01/03/2019 08:00,96565.842
01/03/2019 09:00,96185.026
01/03/2019 10:00,96194.333
01/03/2019 11:00,95459.579
01/03/2019 12:00,94510.037
01/03/2019 13:00,93661.305
01/03/2019 14:00,92635.121
01/03/2019 15:00,92663.113
01/03/2019 16:00,94923.334
01/03/2019 17:00,101078.4
01/03/2019 18:00,103176.038
01/03/2019 19:00,102705.783
01/03/2019 20:00,101358.472
01/03/2019 21:00,98361.251
01/03/2019 22:00,93524.412
01/03/2019 23:00,88860.766
01/04/2019 00:00,85343.849
01/04/2019 01:00,83487.171
01/04/2019 02:00,82710.814
01/04/2019 03:00,82843.676
01/04/2019 04:00,84748.728
01/04/2019 05:00,89439.077
01/04/2019 06:00,97092.586
01/04/2019 07:00,101691.211
01/04/2019 08:00,101765.922
01/04/2019 09:00,100471.521
01/04/2019 10:00,98870.521
01/04/2019 11:00,96754.248
01/04/2019 12:00,95210.801
01/04/2019 13:00,93996.734
01/04/2019 14:00,92894.93
01/04/2019 15:00,92412.669
01/04/2019 16:00,93960.653
01/04/2019 17:00,97859.431
01/04/2019 18:00,98249.852
01/04/2019 19:00,96611.317
01/04/2019 20:00,94458.152
01/04/2019 21:00,91630.605
01/04/2019 22:00,87612.68
01/04/2019 23:00,82840.811
01/05/2019 00:00,78873.486
01/05/2019 01:00,76225.126
01/05/2019 02:00,74770.169
01/05/2019 03:00,74099.318
01/05/2019 04:00,74725.249
01/05/2019 05:00,76400.281
01/05/2019 06:00,79372.603
01/05/2019 07:00,82761.193
01/05/2019 08:00,85406.85
01/05/2019 09:00,87029.701
01/05/2019 10:00,87471.766
01/05/2019 11:00,87108.189
01/05/2019 12:00,85811.608
01/05/2019 13:00,84198.699
01/05/2019 14:00,82610.119
01/05/2019 15:00,81794.098
01/05/2019 16:00,83139.772
01/05/2019 17:00,88090.333
01/05/2019 18:00,90298.737
01/05/2019 19:00,89754.695
01/05/2019 20:00,88763.729
01/05/2019 21:00,86830.138
01/05/2019 22:00,83748.587
01/05/2019 23:00,80183.862
01/06/2019 00:00,77184.727
01/06/2019 01:00,74963.481
01/06/2019 02:00,74044.46
01/06/2019 03:00,73736.423
01/06/2019 04:00,74059.071
01/06/2019 05:00,75663.529
01/06/2019 06:00,78174.658
01/06/2019 07:00,81014.868
01/06/2019 08:00,82859.192
01/06/2019 09:00,83243.845
01/06/2019 10:00,82518.876
01/06/2019 11:00,81152.966
01/06/2019 12:00,80244.5
01/06/2019 13:00,79354.258
01/06/2019 14:00,78990.866
01/06/2019 15:00,79700.008
01/06/2019 16:00,82972.223
01/06/2019 17:00,89790.117
01/06/2019 18:00,92831.795
01/06/2019 19:00,92619.202
01/06/2019 20:00,92183.316
01/06/2019 21:00,89868.966
01/06/2019 22:00,85990.569
01/06/2019 23:00,82361.377
01/07/2019 00:00,79823.544
01/07/2019 01:00,78722.948
01/07/2019 02:00,78683.779
01/07/2019 03:00,79301.031
01/07/2019 04:00,81794.458
01/07/2019 05:00,87502.83
01/07/2019 06:00,96095.875
01/07/2019 07:00,101394.662
01/07/2019 08:00,101652.738
01/07/2019 09:00,100703.464
01/07/2019 10:00,100254.896
01/07/2019 11:00,99223.082
01/07/2019 12:00,98442.814
01/07/2019 13:00,98096.115
01/07/2019 14:00,97709.785
01/07/2019 15:00,97780.847
01/07/2019 16:00,99579.613
01/07/2019 17:00,103880.732
01/07/2019 18:00,104649.949
01/07/2019 19:00,103106.696
01/07/2019 20:00,100618.767
01/07/2019 21:00,96191.234
01/07/2019 22:00,90815.967
01/07/2019 23:00,85062.504
01/08/2019 00:00,80987.798
01/08/2019 01:00,78691.081
01/08/2019 02:00,77400.801
01/08/2019 03:00,77164.071
01/08/2019 04:00,78585.58
01/08/2019 05:00,83363.679
01/08/2019 06:00,91414.162
01/08/2019 07:00,96200.393
01/08/2019 08:00,96060.025
01/08/2019 09:00,94909.206
01/08/2019 10:00,93911.947
01/08/2019 11:00,92673.667
01/08/2019 12:00,90943.835
01/08/2019 13:00,89889.525
01/08/2019 14:00,88486.037
01/08/2019 15:00,88160.923
01/08/2019 16:00,90326.655
01/08/2019 17:00,95475.631
01/08/2019 18:00,97489.402
01/08/2019 19:00,96674.472
01/08/2019 20:00,94997.757
01/08/2019 21:00,91775.648
01/08/2019 22:00,86943.926
01/08/2019 23:00,82082.673
01/09/2019 00:00,78757.684
01/09/2019 01:00,77059.544
01/09/2019 02:00,76785.327
01/09/2019 03:00,77411.79
01/09/2019 04:00,79732.567
01/09/2019 05:00,85469.863
01/09/2019 06:00,94385.056
01/09/2019 07:00,99955.4
01/09/2019 08:00,100004.984
01/09/2019 09:00,99058.815
01/09/2019 10:00,98433.306
01/09/2019 11:00,98248.603
01/09/2019 12:00,98362.201
01/09/2019 13:00,98847.834
01/09/2019 14:00,99145.937
01/09/2019 15:00,100386.095
01/09/2019 16:00,103340.856
01/09/2019 17:00,108570.944
01/09/2019 18:00,110615.536
01/09/2019 19:00,109902.323
01/09/2019 20:00,108559.766
01/09/2019 21:00,105400.473
01/09/2019 22:00,100387.17
01/09/2019 23:00,95601.405
01/10/2019 00:00,92660.296
01/10/2019 01:00,91215.394
