Year,Month,Total(MWh),Hydro(MWh),Steam(MWh),Combined cycle(MWh),Internal combustion(MWh),Nuclear(MWh),Renewables(MWh),Others(MWh)
2019,1,52904000,544000,23144000,14466000,44000,12256000,2535000,12000
2019,2,44932000,471000,19200000,11946000,41000,11034000,2310000,11000
2019,3,47209000,451000,17611000,12225000,42000,14034000,2830000,1000
2019,4,43946000,530000,14824000,11764000,47000,14150000,2641000,7000
2019,5,44334000,540000,15296000,10644000,33000,14771000,3080000,10000
2019,6,43793000,481000,17621000,9388000,44000,13583000,2661000,9000
2019,7,49740000,567000,22375000,12333000,52000,11678000,2725000,8000
2019,8,51642000,601000,23026000,12649000,54000,12197000,3055000,12000
2019,9,44462000,566000,20993000,9952000,39000,10321000,2419000,12000
2019,10,44630000,546000,20085000,9873000,86000,10600000,2223000,467000
2019,11,45165000,451000,19157000,12644000,62000,10228000,1954000,447000
2019,12,50283000,500000,19773000,16276000,35000,11059000,2093000,371000
